//0
//Oxygen, 1.045
//Nitrate, 1,1,-2.24,0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		938.00	0	2.5380	0	34.5590	0	27.574	0	177.13	0	52.63	0		8	0.02	0	0.000108	0	2.13	0	29.5187	8	27.4336	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		936.00	0	2.5370	0	34.5560	0	27.572	0	177.13	0	52.63	0		8	0.02	0	0.000108	0	2.13	0	29.5168	8	27.4318	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		934.00	0	2.5360	0	34.5540	0	27.570	0	177.13	0	52.63	0		8	0.02	0	0.000108	0	2.15	0	29.5147	8	27.4298	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		932.00	0	2.5290	0	34.5520	0	27.569	0	177.02	0	52.59	0		8	0.02	0	0.000110	0	2.12	0	29.5142	8	27.4292	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		930.00	0	2.5260	0	34.5510	0	27.569	0	176.92	0	52.55	0		8	0.02	0	0.000109	0	2.17	0	29.5116	8	27.4267	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		928.00	0	2.5320	0	34.5500	0	27.567	0	176.81	0	52.53	0		8	0.02	0	0.000107	0	2.14	0	29.5098	8	27.4250	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		926.00	0	2.5340	0	34.5500	0	27.567	0	176.92	0	52.56	0		8	0.03	0	0.000109	0	2.16	0	29.5091	8	27.4244	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		924.00	0	2.5330	0	34.5500	0	27.567	0	176.81	0	52.53	0		8	0.02	0	0.000109	0	2.14	0	29.5066	8	27.4220	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		922.00	0	2.5330	0	34.5490	0	27.567	0	176.81	0	52.53	0		8	0.02	0	0.000108	0	2.12	0	29.5054	8	27.4208	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		920.00	0	2.5320	0	34.5480	0	27.566	0	176.92	0	52.56	0		8	0.02	0	0.000110	0	2.12	0	29.5044	8	27.4199	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		918.00	0	2.5230	0	34.5450	0	27.564	0	176.81	0	52.52	0		8	0.02	0	0.000109	0	2.14	0	29.5033	8	27.4186	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		916.00	0	2.5160	0	34.5430	0	27.563	0	176.71	0	52.48	0		8	0.02	0	0.000108	0	2.14	0	29.5037	8	27.4189	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		914.00	0	2.5150	0	34.5420	0	27.562	0	176.61	0	52.44	0		8	0.03	0	0.000118	0	2.14	0	29.5022	8	27.4174	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		912.00	0	2.5150	0	34.5410	0	27.562	0	176.50	0	52.41	0		8	0.02	0	0.000126	0	2.15	0	29.4998	8	27.4151	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		910.00	0	2.5160	0	34.5400	0	27.561	0	176.50	0	52.41	0		8	0.02	0	0.000116	0	2.13	0	29.4994	8	27.4147	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		908.00	0	2.5170	0	34.5380	0	27.559	0	176.40	0	52.38	0		8	0.03	0	0.000109	0	2.12	0	29.4969	8	27.4124	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		906.00	0	2.5170	0	34.5370	0	27.558	0	176.40	0	52.38	0		8	0.02	0	0.000108	0	2.13	0	29.4949	8	27.4105	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		904.00	0	2.5170	0	34.5360	0	27.557	0	176.40	0	52.38	0		8	0.02	0	0.000107	0	2.15	0	29.4941	8	27.4097	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		902.00	0	2.5180	0	34.5360	0	27.557	0	176.40	0	52.38	0	35.24	0	0.02	0	0.000109	0	2.12	0	29.4925	8	27.4081	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		900.00	0	2.5180	0	34.5360	0	27.557	0	176.40	0	52.38	0		8	0.03	0	0.000110	0	2.12	0	29.4905	8	27.4062	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		898.00	0	2.5190	0	34.5360	0	27.557	0	176.40	0	52.38	0		8	0.03	0	0.000109	0	2.11	0	29.4894	8	27.4052	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		896.00	0	2.5230	0	34.5320	0	27.554	0	176.50	0	52.42	0		8	0.02	0	0.000110	0	2.10	0	29.4873	8	27.4032	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		894.00	0	2.5250	0	34.5310	0	27.553	0	176.61	0	52.45	0		8	0.02	0	0.000110	0	2.14	0	29.4868	8	27.4028	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		892.00	0	2.5260	0	34.5300	0	27.552	0	176.61	0	52.45	0		8	0.02	0	0.000112	0	2.13	0	29.4840	8	27.4001	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		890.00	0	2.5280	0	34.5290	0	27.551	0	176.71	0	52.49	0		8	0.02	0	0.000109	0	2.11	0	29.4826	8	27.3988	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		888.00	0	2.5300	0	34.5250	0	27.548	0	176.81	0	52.52	0		8	0.02	0	0.000112	0	2.13	0	29.4829	8	27.3990	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		886.00	0	2.5300	0	34.5240	0	27.547	0	176.92	0	52.55	0		8	0.02	0	0.000113	0	2.10	0	29.4786	8	27.3950	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		884.00	0	2.5300	0	34.5240	0	27.547	0	177.02	0	52.58	0		8	0.02	0	0.000109	0	2.11	0	29.4781	8	27.3945	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		882.00	0	2.5300	0	34.5240	0	27.547	0	177.02	0	52.58	0		8	0.03	0	0.000128	0	2.11	0	29.4768	8	27.3932	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		880.00	0	2.5290	0	34.5220	0	27.545	0	177.02	0	52.58	0		8	0.02	0	0.000119	0	2.11	0	29.4767	8	27.3931	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		878.00	0	2.5300	0	34.5190	0	27.543	0	177.13	0	52.61	0		8	0.03	0	0.000107	0	2.13	0	29.4743	8	27.3908	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		876.00	0	2.5320	0	34.5170	0	27.541	0	177.23	0	52.64	0		8	0.02	0	0.000112	0	2.11	0	29.4730	8	27.3896	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		874.00	0	2.5350	0	34.5160	0	27.540	0	177.34	0	52.68	0		8	0.02	0	0.000116	0	2.13	0	29.4716	8	27.3883	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		872.00	0	2.5390	0	34.5150	0	27.539	0	177.44	0	52.71	0		8	0.02	0	0.000118	0	2.11	0	29.4703	8	27.3871	8
0508SoOcn	1	C	12/09/2014	14:17	2.959	-49.058		870.00	0	2.5380	0	34.5140	0	27.538	0	177.55	0	52.74	0		8	0.03	0	0.000111	0	2.09	0	29.4677	8	27.3846	8
