//0																															
//Oxygen, 1.02
//Nitrate, 1,1,-0.25,0
//pH, 1, -0.15, 0
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF
0511SoOcn	1	C	12/18/2014	16:32				810	0	0.558	0	34.682	0	27.818	0	211.65	0	59.84	0		8	0.02	0	0.000096	0	2.44	0	7.9087	0	7.6074	0
0511SoOcn	1	C	12/18/2014	16:32				808	0	0.558	0	34.682	0	27.818	0	211.65	0	59.84	0		8	0.02	0	0.000096	0	2.43	0	7.9085	0	7.6071	0
0511SoOcn	1	C	12/18/2014	16:32				806	0	0.559	0	34.682	0	27.818	0	211.65	0	59.84	0		8	0.02	0	0.000099	0	2.41	0	7.9086	0	7.6072	0
0511SoOcn	1	C	12/18/2014	16:32				804	0	0.561	0	34.682	0	27.818	0	211.75	0	59.87	0		8	0.02	0	0.000101	0	2.43	0	7.9086	0	7.6071	0
0511SoOcn	1	C	12/18/2014	16:32				802	0	0.561	0	34.682	0	27.818	0	211.65	0	59.85	0	32.25	8	0.03	0	0.000096	0	2.41	0	7.9092	0	7.6076	0
0511SoOcn	1	C	12/18/2014	16:32				800	0	0.562	0	34.682	0	27.818	0	211.65	0	59.85	0		8	0.02	0	0.000096	0	2.37	0	7.9095	0	7.6078	0
0511SoOcn	1	C	12/18/2014	16:32				798	0	0.563	0	34.682	0	27.818	0	211.65	0	59.85	0		8	0.02	0	0.000097	0	2.4	0	7.9092	0	7.6075	0
0511SoOcn	1	C	12/18/2014	16:32				796	0	0.565	0	34.682	0	27.817	0	211.65	0	59.85	0		8	0.02	0	0.000095	0	2.42	0	7.9098	0	7.6080	0
0511SoOcn	1	C	12/18/2014	16:32				794	0	0.565	0	34.682	0	27.817	0	211.65	0	59.85	0		8	0.02	0	0.000097	0	2.42	0	7.9103	0	7.6084	0
0511SoOcn	1	C	12/18/2014	16:32				792	0	0.566	0	34.682	0	27.817	0	211.65	0	59.85	0		8	0.02	0	0.000097	0	2.42	0	7.9103	0	7.6083	0
