//0
//Oxygen, 1.045
//Nitrate, 1, 1, 0,0,
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	Bot. Depth[m]	Depth[m]	QF	Temperature[°C]	QF	Salinity	QF	Density	QF	Oxygen[µM]	QF	OxygenSat[%]	QF	Nitrate[µM]	QF	Chlorophyll[µg/l]	QF	BackScatter[/m/sr]	QF	CDOM[ppb]	QF
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		914.00	0	3.8750	0	34.4560	0	27.366	0	186.95	0	57.38	0		8	0.02	0	0.000142	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		912.00	0	3.8760	0	34.4550	0	27.365	0	187.06	0	57.42	0		8	0.02	0	0.000138	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		910.00	0	3.8740	0	34.4540	0	27.365	0	187.26	0	57.48	0		8	0.02	0	0.000140	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		908.00	0	3.8660	0	34.4520	0	27.364	0	187.47	0	57.53	0		8	0.02	0	0.000148	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		906.00	0	3.8590	0	34.4500	0	27.363	0	187.79	0	57.62	0		8	0.02	0	0.000142	0	2.13	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		904.00	0	3.8570	0	34.4490	0	27.363	0	188.10	0	57.71	0		8	0.02	0	0.000141	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		902.00	0	3.8590	0	34.4490	0	27.362	0	188.31	0	57.78	0		8	0.02	0	0.000144	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		900.00	0	3.8630	0	34.4480	0	27.361	0	188.41	0	57.81	0	34.00	0	0.02	0	0.000139	0	2.08	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		898.00	0	3.8730	0	34.4480	0	27.360	0	188.52	0	57.86	0		8	0.02	0	0.000140	0	2.15	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		896.00	0	3.8820	0	34.4480	0	27.359	0	188.52	0	57.87	0		8	0.02	0	0.000143	0	2.14	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		894.00	0	3.8870	0	34.4480	0	27.359	0	188.52	0	57.88	0		8	0.02	0	0.000138	0	2.16	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		892.00	0	3.8980	0	34.4480	0	27.358	0	188.52	0	57.89	0		8	0.02	0	0.000142	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		890.00	0	3.9180	0	34.4460	0	27.354	0	188.52	0	57.92	0		8	0.02	0	0.000144	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		888.00	0	3.9500	0	34.4480	0	27.352	0	188.41	0	57.94	0		8	0.02	0	0.000141	0	2.11	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		886.00	0	3.9640	0	34.4480	0	27.351	0	188.41	0	57.96	0		8	0.01	0	0.000141	0	2.09	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		884.00	0	3.9870	0	34.4480	0	27.348	0	188.20	0	57.92	0		8	0.02	0	0.000143	0	2.10	0
0037SoOcn	1	C	12/05/2014	21:51	11.352	-39.254		882.00	0	4.0120	0	34.4480	0	27.346	0	188.10	0	57.93	0		8	0.02	0	0.000142	0	2.17	0
